1password 8.10.54-22
7zip-bin 21.03-1
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.1-1
acl 2.3.2-1
ada 2.9.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aerc 0.20.1-1
aircrack-ng 1.7-5
alsa-card-profiles 1:1.2.7-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
android-apktool 2.10.0-1
android-sdk-platform-tools 35.0.2-1
android-sdk-platform-tools-debug 35.0.2-1
android-studio 2024.2.2.13-1
aom 3.11.0-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.54.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
autofirma 1.8.3-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
aws-cdk 2.171.0-1
ayatana-ido 0.10.4-1
babl 0.1.110-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-completion 2.16.0-1
bat 0.25.0-4
bc 1.08.1-1
betterlockscreen 4.4.0-1
bibata-cursor-theme 2.0.7-1
bind 9.20.5-1
binutils 2.43_1+r186+g61f8adadd6db-1
bison 3.8.2-8
blas 3.12.1-2
blt 2.4z-12
blueman 2.4.3-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-utils 5.79-1
bmon 4.0-5
boost-libs 1.86.0-6
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
bspwm-rounded-corners-git 0.9.10.r52.g8b6e8f0-1
btrfs-progs 6.12-2
bubblewrap 0.11.0-1
buffalo-bin 0.18.14-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
cawbird 1.5-2
cbindgen 0.28.0-1
cblas 3.12.1-2
cdparanoia 10.2-9
chromaprint 1.5.1-9
cifs-utils 7.1-1
clang 19.1.7-1
clipmenu 6.2.0-3
clipnotify 1.0.2-3
cmake 3.31.5-1
code 1.96.4-1
colord 1.4.7-2
colord-sane 1.4.7-2
compiler-rt 19.1.7-1
configuradorfnmt 4.0.6-1
confuse 3.3-4
containerd 2.0.2-1
coreutils 9.6-2
cppdap 1.58.0-2
cronie 1.7.2-1
cryptsetup 2.7.5-2
ctags 1:6.1.0-2
cuda 12.6.3-1
cudnn 9.5.1.17-1
cups 2:2.4.11-2
cups-filters 2.0.1-2
cups-pdf 3.0.1-8
curl-quiche-git 8.0.1.r217.g6b1e4dc6c-1
curlie 1.7.2-3
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.0-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
dejagnu 1.6.3-11
desktop-file-utils 0.28-1
device-mapper 2.03.30-1
dex2jar 2.4-1
dhclient 4.4.3.P1-4
diffutils 3.10-1
dive 0.12.0-1
djvulibre 3.5.28-6
dkms 3.1.5-1
dmenu 5.3-3
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnssec-anchors 20190629-4
docbook-xml 4.5-10
docbook-xsl 1.79.2-9
docker 1:27.3.1-1
docker-compose 2.32.4-1
dog 0.1.0-5
dos2unix 7.5.2-2
dosfstools 4.2-5
double-conversion 3.3.0-2
doxygen 1.13.2-1
duf-bin 0.6.2-2
duktape 2.7.0-7
dump_syms 2.3.4-1
dunst 1.12.1-1
dust-bin 0.6.1-1
e2fsprogs 1.47.2-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.17-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
electron 1:34-1
electron11 11.5.0-5
electron19 19.1.9-5
electron27 27.3.11-7
electron28 28.3.3-3
electron29 1:29.4.6-2
electron30 30.5.1-3
electron31 31.7.7-1
electron32 32.3.0-1
electron33 33.3.2-1
electron34 34.0.2-1
elinks 0.18.0-1
enchant 2.8.2-1
ethtool 1:6.9-1
eww 0.6.0-1
eww-debug 0.6.0-1
exif 0.6.22-1
exiv2 0.28.3-1
expat 2.6.4-1
expect 5.45.4-5
eza 0.20.19-1
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.37-1
fcitx5 5.1.12-1
fd 10.2.0-1
feh 3.10.3-1
ffmpeg 2:7.1-6
ffmpeg4.4 4.4.5-2
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
finalhe-git 1.92.r9.gf1249cb-1
findutils 4.10.0-2
firefox 134.0.2-1
flac 1.4.3-2
flat-remix 20240201-1
flex 2.6.4-5
fluidsynth 2.4.3-1
fmt 11.1.3-1
fontconfig 2:2.16.0-2
foomatic-db-ppds 3:20240209-1
freeglut 3.6.0-1
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fzf 0.57.0-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r730+gc061ad5a36ba-1
gcc-ada 14.2.1+r730+gc061ad5a36ba-1
gcc-d 14.2.1+r730+gc061ad5a36ba-1
gcc-libs 14.2.1+r730+gc061ad5a36ba-1
gcc11 11.4.0-1
gcc11-libs 11.4.0-1
gcc12-libs 12.3.0-6
gcc13 13.3.1+r432+gfc8bd63119c0-1
gcc13-libs 13.3.1+r432+gfc8bd63119c0-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdb 16.2-1
gdb-common 16.2-1
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gegl 0.4.52-2
genymotion 3.8.0-1
gettext 0.23.1-2
ghostscript 10.04.0-1
giflib 5.2.2-1
gimp 2.10.38-5
girara 0.4.5-1
git 2.48.1-1
github-cli 2.66.1-1
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.82.4-2
glib2-devel 2.82.4-2
glib2-docs 2.82.4-2
glibc 2.41+r2+g0a7c7a3e283a-1
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmime3 3.2.15-1
gmp 6.3.0-2
gn 0.2207.ed1abc10-1
gnu-netcat 0.7.1-10
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.8-1
go 2:1.23.5-1
go-swagger 0.31.0-2
go2 0.3-1
gobject-introspection 1.82.0-2
gobject-introspection-runtime 1.82.0-2
gobuster-git 3.5.0.r0.gc3fed5e-1
golangci-lint 1.62.2-1
golangci-lint-debug 1.62.2-1
google-cloud-sdk 404.0.0-1
gotop 4.2.0-3
gotop-debug 4.2.0-3
gparted 1.7.0-1
gperf 3.1-5
gperftools 2.16-1
gpgme 1.24.1-3
gping 1.18.0-2
gpm 1.20.7.r38.ge82d1a6-6
gptfdisk 1.0.10-1
gradle 8.12-1
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
green-recorder-git 3.2.10.r7.gde31bbc-1
grep 3.11-1
groff 1.23.0-7
grub 2:2.12-3
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsfonts 20200910-4
gsm 1.0.22-2
gspell 1.14.0-1
gssdp 1.6.3-2
gst-libav 1.24.12-1
gst-plugin-gtk 1.24.12-1
gst-plugins-bad 1.24.12-1
gst-plugins-bad-libs 1.24.12-1
gst-plugins-base 1.24.12-1
gst-plugins-base-libs 1.24.12-1
gst-plugins-good 1.24.12-1
gst-plugins-ugly 1.24.12-1
gstreamer 1.24.12-1
gtest 1.15.2-1
gtk-doc 1.34.0-3
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.12-1
gtk2 2.24.33-5
gtk3 1:3.24.48-1
gtk4 1:4.16.12-1
gtkd 3.10.0-15
gtkmm 1:2.24.5-5
gtkmm-4.0 4.16.0-1
gtkmm3 3.24.9-1
gtksourceview3 1:3.24.11+r28+g73e57b57-2
gts 0.7.6.121130-3
gucharmap 15.1.1-1
guile 3.0.10-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gvfs 1.56.1-2
gvfs-smb 1.56.1-2
gzip 1.13-4
